store_code,store_name,city,state,region_name,open_date,close_date,square_feet
S00001, Store 1 ,green bay,WI,Midwest,2019-02-13,,1200.0
S00002,STORE 2,Memphis,TN,South,06/26/2016,,1200.0
S-3,STORE 3,HOUSTON,TX,South,2017-02-17,,1800.0
00004,Store 4,Cleveland,OH,MIDWEST REGION,2020/04/03,,4500.0
 S-5 , Store 5 ,Tampa,fl,south,06-Aug-2021,,1800.0
S-6,STORE 6,New York,ny,Northeast,2017-09-18,,1200.0
 S-7 ,Store 7,Atlanta,GA,south,2019-04-17,,2200.0
S00008,store 8, Cleveland ,OH,Midwest,10/23/2017,,4500.0
00009,Store 9, Boston ,ma,Northeast,12/21/2021,,3000.0
 00010 , Store 10 ,Durham,NC,South Region,2021-01-23,,1200.0
00011,Store 11,Hartford,CT,northeast,14-Feb-2019,,1200.0
S00012,Store 12, Raleigh ,nc,South,03/27/2021,,4500.0
s00013,Store 13,Spokane, WA ,West,2021-03-09,,1800.0
00014,Store 14,PHOENIX,AZ,west,30-Jun-2020,,2200.0
 STORE-00015 ,Store 15,stamford,CT,Northeast,2022-01-29,,1200.0
S00016,store 16,Milwaukee,wi,MIDWEST,2022/05/22,,3000.0
 S00017 ,STORE 17,RALEIGH,NC,South,2016/10/24,2020/07/17,1800.0
STORE-00018, Store 18 ,Knoxville,TN,South,12/06/2021,2025/04/14,2200.0
S-19,Store 19, Tampa ,FL, South ,2023/02/10,,6000.0
 S00020 ,Store 20,Green Bay, WI ,MIDWEST REGION,11/30/2023,,1200.0
S00021,Store 21,Philadelphia,PA,Northeast,08/25/2023,,1800.0
S-22,Store 22,Paterson,NJ, Northeast ,2019-09-22,,1800.0
00023,STORE 23, Salem ,OR,west,2018/07/21,,1200.0
S-24,Store 24,tampa,FL,South,12/23/2018,2022/07/26,1200.0
00025, Store 25 ,Stamford,CT,Northeast,2023/09/14,,6000.0
S-26,Store 26,Eugene,OR, West ,2017/06/05,,4500.0
S-27,Store 27,Raleigh,NC,South,2020/12/16,,1800.0
S-28,Store 28,columbus,OH,Midwest,10-Apr-2016,,1800.0
 S-29 ,STORE 29,Buffalo,ny,Northeast,2018/06/15,,3000.0
s-30,Store 30,Reno,NV,west,10/13/2017,,1200.0
 S00031 ,STORE 31,Grand Rapids,MI,midwest region,02-Aug-2019,,1800.0
s-32,Store 32,HENDERSON,NV,West,03/21/2016,,2200.0
S-33,Store 33,Worcester,MA,Northeast,2023-07-02,,3000.0
00034,STORE 34,Seattle,WA,west,2018-12-01,,6000.0
S00035,Store 35, Tampa , FL , South ,2016-10-08,,1800.0
